device_label,w_um,l_um,corner,temp_c,id_dropout_a,vth_v,ron_ohm,ron_w_ohm_um,cgate_f,implied_w_um_50ma_300mv,implied_w_um_100ma_200mv,id_stress_a,id_stress_a_per_um,vsg_stress_v,vds_stress_v,vdg_stress_v,vsg_exceeds_3p3v_rating
w1u_l1.0u,1.0000,1.0000,ss,27,1.406990e-05,0.7243,21322.1132,21322.1132,4.541240e-15,3553.69,10661.06,1.003740e-04,1.003740e-04,3.6300,-3.6300,0.0000,YES
w1u_l1.0u,1.0000,1.0000,ss,125,1.117118e-05,0.5953,26854.8175,26854.8175,4.513290e-15,4475.80,13427.41,8.041360e-05,8.041360e-05,3.6300,-3.6300,0.0000,YES
w1u_l1.0u,1.0000,1.0000,tt,-40,1.889558e-05,0.7389,15876.7288,15876.7288,4.740500e-15,2646.12,7938.36,1.354430e-04,1.354430e-04,3.6300,-3.6300,0.0000,YES
w1u_l1.0u,1.0000,1.0000,tt,27,1.564171e-05,0.6688,19179.4887,19179.4887,4.716720e-15,3196.58,9589.74,1.137870e-04,1.137870e-04,3.6300,-3.6300,0.0000,YES
w1u_l1.0u,1.0000,1.0000,tt,125,1.233959e-05,0.5412,24311.9909,24311.9909,4.686790e-15,4052.00,12156.00,9.041310e-05,9.041310e-05,3.6300,-3.6300,0.0000,YES
w300u_l0.5u,300.0000,0.5000,ff,-40,1.147768e-02,0.6529,26.1377,7841.3059,7.404010e-13,1306.88,3920.65,8.501650e-02,2.833883e-04,3.6300,-3.6300,0.0000,YES
w300u_l0.5u,300.0000,0.5000,ff,27,9.982072e-03,0.5876,30.0539,9016.1642,7.370490e-13,1502.69,4508.08,7.460770e-02,2.486923e-04,3.6300,-3.6300,0.0000,YES
w300u_l0.5u,300.0000,0.5000,ff,125,8.307844e-03,0.4680,36.1105,10833.1355,7.327640e-13,1805.52,5416.57,6.220650e-02,2.073550e-04,3.6300,-3.6300,0.0000,YES
w300u_l0.5u,300.0000,0.5000,fs,-40,9.263471e-03,0.7450,32.3853,9715.5807,6.984450e-13,1619.26,4857.79,6.623840e-02,2.207947e-04,3.6300,-3.6300,0.0000,YES
w300u_l0.5u,300.0000,0.5000,fs,27,8.131269e-03,0.6784,36.8946,11068.3831,6.953400e-13,1844.73,5534.19,5.866740e-02,1.955580e-04,3.6300,-3.6300,0.0000,YES
w300u_l0.5u,300.0000,0.5000,fs,125,6.853715e-03,0.5570,43.7719,13131.5644,6.914630e-13,2188.59,6565.78,4.964900e-02,1.654967e-04,3.6300,-3.6300,0.0000,YES
w300u_l0.5u,300.0000,0.5000,sf,-40,1.072356e-02,0.6835,27.9758,8392.7352,7.259510e-13,1398.79,4196.37,7.895940e-02,2.631980e-04,3.6300,-3.6300,0.0000,YES
w300u_l0.5u,300.0000,0.5000,sf,27,9.354605e-03,0.6178,32.0698,9620.9300,7.226800e-13,1603.49,4810.47,6.945750e-02,2.315250e-04,3.6300,-3.6300,0.0000,YES
w300u_l0.5u,300.0000,0.5000,sf,125,7.819091e-03,0.4976,38.3676,11510.2894,7.185280e-13,1918.38,5755.14,5.815850e-02,1.938617e-04,3.6300,-3.6300,0.0000,YES
w300u_l0.5u,300.0000,0.5000,ss,-40,8.568287e-03,0.7758,35.0128,10503.8498,6.853340e-13,1750.64,5251.92,5.959910e-02,1.986637e-04,3.6300,-3.6300,0.0000,YES
w300u_l0.5u,300.0000,0.5000,ss,27,7.543202e-03,0.7089,39.7709,11931.2727,6.823170e-13,1988.55,5965.64,5.301120e-02,1.767040e-04,3.6300,-3.6300,0.0000,YES
w300u_l0.5u,300.0000,0.5000,ss,125,6.381540e-03,0.5867,47.0106,14103.1789,6.785830e-13,2350.53,7051.59,4.513920e-02,1.504640e-04,3.6300,-3.6300,0.0000,YES
w300u_l0.5u,300.0000,0.5000,tt,-40,9.965573e-03,0.7144,30.1036,9031.0913,7.119720e-13,1505.18,4515.55,7.253040e-02,2.417680e-04,3.6300,-3.6300,0.0000,YES
w300u_l0.5u,300.0000,0.5000,tt,27,8.721031e-03,0.6483,34.3996,10319.8808,7.087830e-13,1719.98,5159.94,6.399300e-02,2.133100e-04,3.6300,-3.6300,0.0000,YES
w300u_l0.5u,300.0000,0.5000,tt,125,7.321465e-03,0.5274,40.9754,12292.6218,7.047670e-13,2048.77,6146.31,5.385570e-02,1.795190e-04,3.6300,-3.6300,0.0000,YES
